idea_name,source_session,joy,composability,taste,compression,showable,ethical,complexity,k_score,category,ethical_gate,notes
# Session 01: Bootstrap Playground
Identity Law Visualizer TUI,session-01,4,5,5,4,5,5,2,33.38,Strong Win,PASS,Animated TUI showing Id laws
kgents id-bench,session-01,3,4,4,3,4,5,1,23.15,Solid,PASS,Measures Id overhead
Identity Crisis Detector,session-01,5,3,4,3,4,5,2,21.56,Solid,PASS,Finds agents that claim Id but aren't
kgents whoami,session-01,4,4,5,4,5,5,2,33.38,Strong Win,PASS,Agent/Ground introspection
Identity Playground REPL,session-01,5,5,5,4,5,5,3,26.41,Strong Win,PASS,Interactive identity law testing
Id Art Generator,session-01,5,3,4,2,5,5,2,21.00,Solid,PASS,ASCII art of Id doing nothing
Identity as a Service,session-01,5,3,4,3,4,5,1,26.38,Strong Win,PASS,HTTP endpoint returns input unchanged
Zero-Knowledge Id Proof,session-01,5,2,3,2,3,5,3,9.87,Consider,PASS,Cryptographic Id proof
kgents id-golf,session-01,4,3,4,2,3,5,1,17.92,Solid,PASS,Smallest Id implementation
Identity Meditation Timer,session-01,3,2,3,2,2,5,1,11.29,Consider,PASS,Time passing through Id unchanged
Pipeline Builder TUI,session-01,5,5,5,4,5,5,3,28.39,Strong Win,PASS,Drag-and-drop composition
kgents compose-wizard,session-01,4,5,5,4,5,5,2,35.36,Strong Win,PASS,Interactive composition wizard
Composition Depth Analyzer,session-01,3,5,4,3,4,5,1,27.29,Strong Win,PASS,Shows nesting depth
Associativity Prover,session-01,4,5,5,4,5,5,2,35.36,Strong Win,PASS,Animated proof of associativity
Pipe Dreams,session-01,4,5,5,4,4,5,2,32.33,Strong Win,PASS,Save/load pipelines
Composition Hot-Reload,session-01,4,4,4,3,4,5,3,16.40,Solid,PASS,Edit pipeline while running
kgents >> shell operator,session-01,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Unix philosophy for agents
Composition Graph Visualizer,session-01,4,5,5,4,5,5,3,26.41,Strong Win,PASS,Graphviz-style pipeline viz
Type-Safe Composition Checker,session-01,3,5,4,4,3,5,2,23.82,Solid,PASS,Prevent bad compositions
Composition Chaos Monkey,session-01,5,5,4,3,4,5,2,27.09,Strong Win,PASS,Random Id insertion test
