idea_id,session,name,category,Joy,Composability,Taste,Compression,Showable,Ethical,Complexity,K_Score,notes
S01-01,01,Identity Law Visualizer,Bootstrap/Id,4,5,5,4,5,5,2,33.36,Animated TUI showing Id >> f = f = f >> Id
S01-02,01,kgents id-bench,Bootstrap/Id,3,5,4,4,4,5,1,36.11,Measures if Id >> f has zero overhead
S01-03,01,Identity Crisis Detector,Bootstrap/Id,5,4,5,3,4,5,2,28.71,Finds agents that claim Identity but mutate
S01-04,01,kgents whoami,Bootstrap/Id,4,5,5,5,5,5,2,36.48,PERFECT - Agent self-description
S01-05,01,Identity Playground REPL,Bootstrap/Id,5,5,5,4,5,5,3,27.89,Interactive law testing
S01-06,01,Id Art Generator,Bootstrap/Id,5,3,4,2,5,5,2,23.25,ASCII art of Id doing nothing
S01-07,01,Identity as a Service,Bootstrap/Id,5,4,3,3,4,5,1,32.81,HTTP endpoint returning input unchanged
S01-08,01,Zero-Knowledge Id Proof,Bootstrap/Id,5,2,3,2,3,5,3,12.53,Cryptographic proof of Id invocation
S01-09,01,kgents id-golf,Bootstrap/Id,4,3,4,3,3,5,1,28.62,Smallest Identity implementation challenge
S01-10,01,Identity Meditation Timer,Bootstrap/Id,3,2,3,2,2,5,1,16.07,TUI showing time through Identity unchanged
S01-11,01,Pipeline Builder TUI,Bootstrap/Compose,5,5,5,5,5,5,3,30.50,Drag-and-drop agent composition
S01-12,01,kgents compose-wizard,Bootstrap/Compose,4,5,5,5,5,5,2,36.48,Step-by-step composition wizard
S01-13,01,Composition Depth Analyzer,Bootstrap/Compose,3,5,4,4,4,5,1,36.11,Shows nesting depth using existing depth()
S01-14,01,Associativity Prover,Bootstrap/Compose,4,5,5,4,5,5,2,33.36,Animated proof (f>>g)>>h = f>>(g>>h)
S01-15,01,Pipe Dreams Save/Load,Bootstrap/Compose,4,5,5,5,4,5,2,34.40,Save/load composed pipelines
S01-16,01,Composition Hot-Reload,Bootstrap/Compose,4,4,4,4,4,5,3,20.29,Edit pipeline while running
S01-17,01,kgents >> shell operator,Bootstrap/Compose,5,5,5,5,5,5,2,39.40,CROWN - Unix philosophy for agents
S01-18,01,Composition Graph Visualizer,Bootstrap/Compose,4,5,5,4,5,5,3,25.83,Graphviz-style pipeline viz
S01-19,01,Type-Safe Composition Checker,Bootstrap/Compose,3,5,5,5,3,5,2,29.73,Prevents bad compositions
S01-20,01,Composition Chaos Monkey,Bootstrap/Compose,5,5,4,3,4,5,2,27.52,Random Id insertion to test laws
S01-21,01,Parallel Composition,Bootstrap/Compose,4,5,4,4,4,5,3,21.74,Fan-out composition for parallel exec
S01-22,01,Composition DSL Flowfiles,Bootstrap/Compose,4,5,5,5,5,5,3,28.25,YAML flowfile parser enhancement
S01-23,01,Live Judgment Dashboard,Bootstrap/Judge,5,4,5,4,5,5,3,26.34,Real-time 7 principles evaluation
S01-24,01,kgents judge,Bootstrap/Judge,4,5,5,5,5,5,2,36.48,CLI principle evaluation
S01-25,01,Principle Scoreboard,Bootstrap/Judge,4,5,5,5,5,5,2,36.48,Track principles across codebase
S01-26,01,Judge Explain Mode,Bootstrap/Judge,4,4,5,4,4,5,2,29.40,Detailed verdict explanation
S01-27,01,Taste Test Game,Bootstrap/Judge,5,3,5,3,5,5,2,29.02,"Interactive ""which is more tasteful?"""
S01-28,01,Judge vs User Consensus,Bootstrap/Judge,4,3,4,3,4,5,3,16.95,Compare Judge vs human feedback
S01-29,01,Principle Workshop,Bootstrap/Judge,4,3,4,4,4,5,3,18.84,Interactive principle tutorial
S01-30,01,Auto-Judge CI Hook,Bootstrap/Judge,3,5,4,5,3,5,2,26.43,GitHub action for PR judging
S01-31,01,Principle Violation Detector,Bootstrap/Judge,3,5,5,5,4,5,2,31.65,Static analysis for violations
S01-32,01,Custom Principle Builder,Bootstrap/Judge,4,4,4,4,4,5,3,20.29,Domain-specific principles
S01-33,01,Judgment History Explorer,Bootstrap/Judge,4,4,4,4,4,5,2,26.21,Track judgments over time
S01-34,01,kgents whoami Ground,Bootstrap/Ground,4,4,5,5,5,5,1,48.42,Show what Ground knows
S01-35,01,Ground Editor TUI,Bootstrap/Ground,4,4,5,4,4,5,3,22.76,Interactive persona editor
S01-36,01,Context Snapshot,Bootstrap/Ground,3,5,5,5,4,5,2,31.65,Freeze ground state
S01-37,01,Ground Diff Viewer,Bootstrap/Ground,4,4,4,4,4,5,2,26.21,Show Ground changes
S01-38,01,Persona Playground,Bootstrap/Ground,5,4,5,4,5,5,3,26.34,Try different personas
S01-39,01,Ground Minimal Seed,Bootstrap/Ground,3,4,4,4,3,5,2,22.13,Kolmogorov-compress Ground
S01-40,01,Ground-as-Code,Bootstrap/Ground,4,5,5,5,4,5,2,34.40,Version-control persona in YAML
S01-41,01,Ground Truth Validator,Bootstrap/Ground,3,5,5,5,3,5,2,29.73,Ensure Ground consistency
S01-42,01,Tension Detector TUI,Bootstrap/Contradict,5,4,5,4,5,5,3,26.34,Real-time tension detection
S01-43,01,kgents contradict,Bootstrap/Contradict,4,5,5,5,5,5,2,36.48,CLI tension detection
S01-44,01,Tension Heatmap,Bootstrap/Contradict,4,5,5,4,5,5,3,25.83,Visual heatmap of contradictions
S01-45,01,Contradiction Game,Bootstrap/Contradict,5,3,5,3,5,5,2,29.02,Spot-the-contradiction puzzle
S01-46,01,Custom Tension Detector,Bootstrap/Contradict,4,4,4,4,4,5,3,20.29,Define custom tension rules
S01-47,01,Temporal Contradiction,Bootstrap/Contradict,4,4,5,4,4,5,3,22.76,Past me vs present me
S01-48,01,Contradiction REPL,Bootstrap/Contradict,4,4,4,4,4,5,2,26.21,Interactive tension exploration
S01-49,01,Tension Severity Slider,Bootstrap/Contradict,3,4,4,4,3,5,2,22.13,Adjust detection sensitivity
S01-50,01,LacanError Explorer,Bootstrap/Contradict,5,3,4,3,4,5,2,24.15,Explore what can't be symbolized
S01-51,01,Synthesis Wizard,Bootstrap/Sublate,5,4,5,4,5,5,3,26.34,Interactive synthesis assistant
S01-52,01,kgents sublate,Bootstrap/Sublate,4,5,5,5,5,5,2,36.48,CLI synthesis
S01-53,01,Hold-Tension Tracker,Bootstrap/Sublate,4,5,5,5,4,5,2,34.40,Track deliberately held tensions
S01-54,01,Synthesis Quality Scorer,Bootstrap/Sublate,3,4,4,4,3,5,2,22.13,Rate synthesis quality
S01-55,01,Dialectic Animator,Bootstrap/Sublate,5,4,4,4,5,5,3,23.71,Animated Hegelian dialectic
S01-56,01,Premature Resolution Detector,Bootstrap/Sublate,4,5,5,5,4,5,2,34.40,Catch early resolutions
S01-57,01,Custom Resolution Strategy,Bootstrap/Sublate,4,4,4,4,4,5,3,20.29,Domain-specific synthesis
S01-58,01,Synthesis History,Bootstrap/Sublate,4,4,4,4,4,5,2,26.21,Track resolutions over time
S01-59,01,Convergence Animator,Bootstrap/Fix,5,4,5,4,5,5,2,34.02,Watch values converge real-time
S01-60,01,Fix Playground REPL,Bootstrap/Fix,5,5,5,4,5,5,2,36.02,Interactive fixed-point exploration
S01-61,01,kgents poll,Bootstrap/Fix,4,5,5,5,4,5,2,34.40,Polling pattern CLI
S01-62,01,Entropy Budget Visualizer,Bootstrap/Fix,4,4,5,4,5,5,2,31.36,Show entropy depletion
S01-63,01,Fix History Viewer,Bootstrap/Fix,4,4,4,4,4,5,2,26.21,Explore full iteration history
