session,idea_id,idea_name,joy,composability,taste,compression,showable,ethical,complexity,k_score,category,ethical_gate
Session 1,1.1,Identity Law Visualizer TUI,4,4,4,3,5,5,2,28.04,Strong Win,PASS
Session 1,1.2,kgents id-bench,3,3,3,4,4,5,1,22.25,Solid,PASS
Session 1,1.3,Identity Crisis Detector,5,3,4,3,4,5,2,26.62,Strong Win,PASS
Session 1,1.4,kgents whoami,4,4,5,4,5,5,2,34.53,Strong Win,PASS
Session 1,1.5,Identity Playground REPL,5,4,4,3,5,5,3,25.48,Strong Win,PASS
Session 1,1.6,Id Art Generator,5,2,4,2,5,5,2,24.01,Solid,PASS
Session 1,1.7,Identity as a Service,5,3,4,2,4,5,1,30.24,Strong Win,PASS
Session 1,1.8,Zero-Knowledge Id Proof,5,3,4,3,3,5,3,21.04,Solid,PASS
Session 1,1.9,kgents id-golf,4,2,3,3,3,5,1,21.60,Solid,PASS
Session 1,1.10,Identity Meditation Timer,3,2,4,2,2,5,1,17.41,Solid,PASS
Session 1,2.1,Pipeline Builder TUI,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 1,2.2,kgents compose-wizard,4,5,5,4,5,5,2,40.00,Crown Jewel,PASS
Session 1,2.3,Composition Depth Analyzer,3,4,4,4,4,5,1,28.63,Strong Win,PASS
Session 1,2.4,Associativity Prover Visual,4,5,4,3,5,5,2,33.42,Strong Win,PASS
Session 1,2.5,Pipe Dreams Save/Load,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 1,2.6,Composition Hot-Reload,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 1,2.7,kgents shell pipe operator,5,5,5,5,5,5,2,45.54,Crown Jewel,PASS
Session 1,2.8,Composition Graph Visualizer,4,5,4,3,5,5,3,29.43,Strong Win,PASS
Session 1,2.9,Type-Safe Composition Checker,3,5,4,4,3,5,2,28.20,Strong Win,PASS
Session 1,2.10,Composition Chaos Monkey,5,4,4,3,4,5,2,28.80,Strong Win,PASS
Session 1,2.11,Parallel Composition Operator,4,5,4,3,4,5,3,27.21,Strong Win,PASS
Session 1,2.12,Composition DSL Flowfiles,4,5,5,4,5,5,3,33.80,Strong Win,PASS
